"Menu","Ingredient","Qty","Unit"
"ES CENDOL MEDIUM","GULA MERAH","70","gr"
"ES CENDOL MEDIUM","GELAS","1","GELAS"
"ES CENDOL MEDIUM","SENDOK","1","PCS"
"ES CENDOL MEDIUM","PLASTIK","1","PCS"
"ALPUKAT SERUT UTUH ORIGINAL","ALPUKAT POTONG","200","gr"
"ALPUKAT SERUT UTUH ORIGINAL","SANTAN","20","ml"
"ALPUKAT SERUT UTUH ORIGINAL","SKM","40","ml"
"ALPUKAT SERUT UTUH ORIGINAL","ALPUKAT BLENDER","100","ml"
"ALPUKAT SERUT UTUH ORIGINAL","WADAH","1","PCS"
"ALPUKAT SERUT UTUH ORIGINAL","SENDOK","1","PCS"
"ALPUKAT SERUT UTUH ORIGINAL","PLASTIK","1","PCS"
"ALPUKAT SERUT UTUH MILO NANGKA","ALPUKAT POTONG","200","gr"
"ALPUKAT SERUT UTUH MILO NANGKA","SANTAN","20","ml"
"ALPUKAT SERUT UTUH MILO NANGKA","SKM","40","ml"
"ALPUKAT SERUT UTUH MILO NANGKA","ALPUKAT BLENDER","100","ml"
"ALPUKAT SERUT UTUH MILO NANGKA","NANGKA","50","gr"
"ALPUKAT SERUT UTUH MILO NANGKA","MILO","20","gr"
"ALPUKAT SERUT UTUH MILO NANGKA","WADAH","1","PCS"
"ALPUKAT SERUT UTUH MILO NANGKA","SENDOK","1","PCS"
"ALPUKAT SERUT UTUH MILO NANGKA","PLASTIK","1","PCS"
"ALPUKAT SERUT UTUH MILO KEJU OREO","ALPUKAT POTONG","200","gr"
"ALPUKAT SERUT UTUH MILO KEJU OREO","SANTAN","20","ml"
"ALPUKAT SERUT UTUH MILO KEJU OREO","SKM","40","ml"
"ALPUKAT SERUT UTUH MILO KEJU OREO","ALPUKAT BLENDER","100","ml"
"ALPUKAT SERUT UTUH MILO KEJU OREO","MILO","15","gr"
"ALPUKAT SERUT UTUH MILO KEJU OREO","KEJU","15","gr"
"ALPUKAT SERUT UTUH MILO KEJU OREO","OREO","15","gr"
"ALPUKAT SERUT UTUH MILO KEJU OREO","WADAH","1","PCS"
"ALPUKAT SERUT UTUH MILO KEJU OREO","SENDOK","1","PCS"
"ALPUKAT SERUT UTUH MILO KEJU OREO","PLASTIK","1","PCS"
"ALPUKAT SERUT NUTELLA KEJU","ALPUKAT POTONG","200","gr"
"ALPUKAT SERUT NUTELLA KEJU","SANTAN","20","ml"
"ALPUKAT SERUT NUTELLA KEJU","SKM","40","ml"
"ALPUKAT SERUT NUTELLA KEJU","ALPUKAT BLENDER","100","ml"
"ALPUKAT SERUT NUTELLA KEJU","NUTELLA","50","gr"
"ALPUKAT SERUT NUTELLA KEJU","KEJU","20","gr"
"ALPUKAT SERUT NUTELLA KEJU","WADAH","1","PCS"
"ALPUKAT SERUT NUTELLA KEJU","SENDOK","1","PCS"
"ALPUKAT SERUT NUTELLA KEJU","PLASTIK","1","PCS"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","ALPUKAT POTONG","200","gr"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","SANTAN","20","ml"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","SKM","40","ml"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","ALPUKAT BLENDER","100","ml"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","OVALTINE","15","gr"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","KEJU","15","gr"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","NANGKA","15","gr"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","WADAH","1","PCS"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","SENDOK","1","PCS"
"ALPUKAT SERUT UTUH OVALTINE, KEJU NANGKA","PLASTIK","1","PCS"
"ALPUKAT SERUT UTUH NANGKA KEJU","ALPUKAT POTONG","200","gr"
"ALPUKAT SERUT UTUH NANGKA KEJU","SANTAN","20","ml"
"ALPUKAT SERUT UTUH NANGKA KEJU","SKM","40","ml"
"ALPUKAT SERUT UTUH NANGKA KEJU","ALPUKAT BLENDER","100","ml"
"ALPUKAT SERUT UTUH NANGKA KEJU","NANGKA","15","gr"
"ALPUKAT SERUT UTUH NANGKA KEJU","KEJU","15","gr"
"ALPUKAT SERUT UTUH NANGKA KEJU","WADAH","1","PCS"
"ALPUKAT SERUT UTUH NANGKA KEJU","SENDOK","1","PCS"
"ALPUKAT SERUT UTUH NANGKA KEJU","PLASTIK","1","PCS"
"ES TELER MEDIUM ORIGINAL","SAGU MUTIARA","40","gr"
"ES TELER MEDIUM ORIGINAL","JELLY","40","ml"
"ES TELER MEDIUM ORIGINAL","CINCAU","40","ml"
"ES TELER MEDIUM ORIGINAL","PEPAYA","40","ml"
"ES TELER MEDIUM ORIGINAL","SUSUK  BUBUK","10","gr"
"ES TELER MEDIUM ORIGINAL","SKM","20","ml"
"ES TELER MEDIUM ORIGINAL","GULA MERAH","60","gr"
"ES TELER MEDIUM ORIGINAL","KACANG DISKO","10","gr"
"ES TELER MEDIUM ORIGINAL","WADAH","1","PCS"
"ES TELER MEDIUM ORIGINAL","SENDOK","1","PCS"
"ES TELER MEDIUM ORIGINAL","PLASTIK","1","PCS"
"ES TELER MEDIUM KOMPLIT","SAGU MUTIARA","30","gr"
"ES TELER MEDIUM KOMPLIT","JELLY","30","gr"
"ES TELER MEDIUM KOMPLIT","CINCAU","30","ml"
"ES TELER MEDIUM KOMPLIT","PEPAYA","30","gr"
"ES TELER MEDIUM KOMPLIT","SUSU BUBUK","10","gr"
"ES TELER MEDIUM KOMPLIT","SKM","60","ml"
"ES TELER MEDIUM KOMPLIT","GULA MERAH","60","gr"
"ES TELER MEDIUM KOMPLIT","ALPUKAT BLENDER","70","gr"
"ES TELER MEDIUM KOMPLIT","ALPUKAT POTONG","30","gr"
"ES TELER MEDIUM KOMPLIT","KACANG DISKO","10","gtr"
"ES TELER MEDIUM KOMPLIT","WADAH","1","PCS"
"ES TELER MEDIUM KOMPLIT","SENDOK","1","PCS"
"ES TELER MEDIUM KOMPLIT","PLASTIK","1","PCS"
"ES TELER JUMBO","SAGU MUTIARA","40","gr"
"ES TELER JUMBO","JELLY","40","gr"
"ES TELER JUMBO","CINCAU","40","gr"
"ES TELER JUMBO","NATADECOCO","20","ml"
"ES TELER JUMBO","PEPAYA","40","gr"
"ES TELER JUMBO","SUSU BUBUK","15","gr"
"ES TELER JUMBO","SKM","30","gr"
"ES TELER JUMBO","GULA MERAH","70",""
"ES TELER JUMBO","ALPUKAT BLENDER","80","PCS"
"ES TELER JUMBO","KACANG DISKO","10","gr"
"ES TELER JUMBO","ALPUKAT POTONG","40","gr"
"ES TELER JUMBO","SENDOK","1","1"
"ES TELER JUMBO","WADAH","1","1"
"ES TELER JUMBO","PLASTIK","1","PCS"
"ES CENDOL KOMPLIT","CENDOL","80","gr"
"ES CENDOL KOMPLIT","CINCAU","40","ml"
"ES CENDOL KOMPLIT","NANGKA","40","gr"
"ES CENDOL KOMPLIT","SKM","30","ml"
"ES CENDOL KOMPLIT","SANTAN","20","ml"
"ES CENDOL KOMPLIT","GULA MERAH","136","gr"
"ES CENDOL KOMPLIT","GELAS","1","GELAS"
"ES CENDOL KOMPLIT","SENDOK","1","PCS"
"ES CENDOL KOMPLIT","PLASTIK","1","PCS"
